PLAYERS		STATUS			WK 8			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Ben Roethlisberger, Pit QB		NOMS			Ind	W 51-34		40/49	522	6	0		1	-1	0		0	0	0	0		0	0	0		44
Arian Foster*, Hou RB  O		GREG			@Ten	W 30-16		0/0	0	0	0		20	151	2		4	22	1	6		0	0	0		35
Tom Brady, NE QB  P		BOSS			Chi	W 51-23		30/35	354	5	0		2	0	0		0	0	0	0		0	0	0		34
Rob Gronkowski, NE TE		CHB			Chi	W 51-23		0/0	0	0	0		0	0	0		9	149	3	9		0	0	0		32
Jeremy Maclin, Phi WR		PERO			@Ari	L 20-24		0/0	0	0	0		0	0	0		12	187	2	16		0	0	0		30
Emmanuel Sanders, Den WR  P		CHB			SD	W 35-21		0/0	0	0	0		1	6	0		9	120	3	9		0	0	0		30
Andrew Luck, Ind QB		DC00			@Pit	L 34-51		26/45	400	3	2		3	26	0		0	0	0	0		0	0	0		26
Dolphins D/ST D/ST		LIND			@Jac	W 27-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	2		26
Kyle Orton, Buf QB  P		WA (Wed)			@NYJ	W 43-23		10/17/2014	238	4	0		2	6	0		0	0	0	0		0	0	0		25
Antonio Brown, Pit WR		LIND			Ind	W 51-34		0/0	0	0	0		1	5	0		10	133	2	13		0	0	0		25
Drew Brees, NO QB		BALS			GB	W 44-23		27/32	311	3	0		1	6	0		0	0	0	0		0	0	0		24
Aaron Rodgers, GB QB		GREG			@NO	L 23-44		28/39	418	1	2		2	21	1		0	0	0	0		0	0	0		24
Matt Forte, Chi RB		RUCK			@NE	L 23-51		0/0	0	0	0		19	114	0		6	54	1	8		1	0	0		24
Peyton Manning, Den QB		Solo			SD	W 35-21		25/35	286	3	0		1	0	0		0	0	0	0		0	0	0		23
Mark Ingram, NO RB  P		BOSS			GB	W 44-23		0/0	0	0	0		24	172	1		1	3	0	2		0	0	0		23
Larry Fitzgerald, Ari WR  Q		RUCK			Phi	W 24-20		0/0	0	0	0		0	0	0		7	160	1	10		0	0	0		22
Carson Palmer*, Ari QB  IR		PERO			Phi	W 24-20		20/42	329	2	0		0	0	0		0	0	0	0		0	0	0		21
Jay Cutler, Chi QB		RUCK			@NE	L 23-51		20/30	227	3	1		1	6	0		0	0	0	0		2	1	0		21
Golden Tate, Det WR  P		DC00			@Atl	W 22-21		0/0	0	0	0		0	0	0		7	151	1	14		0	0	0		21
Nick Foles*, Phi QB  O		LIND			@Ari	L 20-24		36/62	411	2	2		2	14	0		0	0	0	0		0	0	0		21
T.Y. Hilton, Ind WR		PERO			@Pit	L 34-51		0/0	0	0	0		0	0	0		6	155	1	9		0	0	0		21
