PLAYERS		STATUS			WK 12			PASSING					RUSHING				RECEIVING					MISC				TOTAL
PLAYER, TEAM POS		TYPE	ACTION		OPP	STATUS ET		C/A	YDS	TD	INT		RUSH	YDS	TD		REC	YDS	TD	TAR		2PC	FUML	TD		PTS
Justin Forsett, Bal RB		PERO			@NO	W 34-27		0/0	0	0	0		22	182	2		2	8	0	2		0	0	0		30
Peyton Manning, Den QB		Solo			Mia	W 39-36		28/35	257	4	0		2	-2	0		0	0	0	0		1	0	0		28
Drew Brees, NO QB		BALS			Bal	L 27-34		35/45	420	3	1		3	15	0		0	0	0	0		0	0	0		27
Demaryius Thomas, Den WR		Solo			Mia	W 39-36		0/0	0	0	0		0	0	0		10	87	3	13		0	0	0		26
Ryan Tannehill, Mia QB		BALS			@Den	L 36-39		26/36	228	3	1		4	15	1		0	0	0	0		0	0	0		26
Odell Beckham Jr., NYG WR  Q		LIND			Dal	L 28-31		0/0	0	0	0		1	-2	0		10	146	2	11		0	0	0		26
Tony Romo, Dal QB  Q		CHB			@NYG	W 31-28		18/26	275	4	0		1	-2	0		0	0	0	0		0	1	0		25
Eddie Lacy, GB RB		BALS			@Min	W 24-21		0/0	0	0	0		25	125	1		2	13	1	2		0	0	0		25
C.J. Anderson, Den RB		PERO			Mia	W 39-36		0/0	0	0	0		27	167	1		4	28	0	4		0	0	0		24
Eli Manning, NYG QB		CHB			Dal	L 28-31		29/40	338	3	1		0	0	0		0	0	0	0		0	0	0		23
Latavius Murray, Oak RB  Q		WA (Wed)			KC	W 24-20		0/0	0	0	0		4	112	2		0	0	0	0		0	0	0		23
Bills D/ST D/ST		Solo			NYJ	W 38-3		0/0	0	0	0		0	0	0		0	0	0	0		0	0	1		23
Matt Forte, Chi RB		RUCK			TB	W 21-13		0/0	0	0	0		23	89	2		5	23	0	6		0	0	0		22
Dez Bryant, Dal WR		BOSS			@NYG	W 31-28		0/0	0	0	0		0	0	0		7	86	2	9		0	0	0		20
Isaiah Crowell, Cle RB		LIND			@Atl	W 26-24		0/0	0	0	0		12	88	2		0	0	0	0		0	0	0		20
Cody Parkey, Phi K  P		BALS			Ten	W 43-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		20
Tom Brady, NE QB		BOSS			Det	W 34-9		38/53	349	2	1		0	0	0		0	0	0	0		0	0	0		19
Anquan Boldin, SF WR		LIND			Wsh	W 17-13		0/0	0	0	0		0	0	0		9	137	1	12		0	0	0		19
Aaron Rodgers, GB QB		GREG			@Min	W 24-21		19/29	209	2	0		6	34	0		0	0	0	0		0	0	0		19
LeSean McCoy, Phi RB		DC00			Ten	W 43-24		0/0	0	0	0		21	130	1		1	1	0	1		0	0	0		19
LeGarrette Blount, NE RB		CHB			Det	W 34-9		0/0	0	0	0		12	78	2		0	0	0	0		0	0	0		19
Russell Wilson, Sea QB		DC00			Ari	W 19-3		17/22	211	1	0		10	73	0		0	0	0	0		0	0	0		19
T.Y. Hilton, Ind WR		PERO			Jac	W 23-3		0/0	0	0	0		1	15	0		4	122	1	5		0	0	0		19
Teddy Bridgewater, Min QB		WA (Wed)			GB	L 21-24		21/37	210	2	1		5	32	0		0	0	0	0		1	0	0		19
Zach Mettenberger, Ten QB		WA (Wed)			@Phi	L 24-43		20/39	345	2	1		2	-2	0		0	0	0	0		0	0	0		19
Kyle Orton, Buf QB  P		WA (Wed)			NYJ	W 38-3		24/32	230	2	0		1	10	0		0	0	0	0		0	0	0		18
Jamaal Charles, KC RB		BOSS			@Oak	L 20-24		0/0	0	0	0		19	80	0		4	42	1	7		0	0	0		18
Alfred Morris, Wsh RB		Solo			@SF	L 13-17		0/0	0	0	0		21	125	1		1	5	0	1		0	0	0		18
Alex Smith, KC QB		WA (Wed)			@Oak	L 20-24		20/36	234	2	0		2	5	0		0	0	0	0		0	0	0		17
Robert Woods, Buf WR		WA (Wed)			NYJ	W 38-3		0/0	0	0	0		0	0	0		9	118	1	11		0	0	0		17
Jarvis Landry, Mia WR		WA (Wed)			@Den	L 36-39		0/0	0	0	0		0	0	0		7	50	2	11		0	0	0		17
Ryan Mathews, SD RB  P		CHB			StL	W 27-24		0/0	0	0	0		12	105	1		2	8	0	2		0	0	0		16
Jimmy Graham, NO TE		NOMS			Bal	L 27-34		0/0	0	0	0		0	0	0		6	47	2	10		0	0	0		16
Eagles D/ST D/ST		BALS			Ten	W 43-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	1		16
Delanie Walker, Ten TE		PERO			@Phi	L 24-43		0/0	0	0	0		0	0	0		5	155	0	9		0	0	0		15
Steven Hauschka, Sea K		GREG			Ari	W 19-3		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		15
Tim Wright, NE TE		WA (Wed)			Det	W 34-9		0/0	0	0	0		0	0	0		5	36	2	6		0	0	0		15
Bears D/ST D/ST		WA (Wed)			TB	W 21-13		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		15
Colts D/ST D/ST		WA (Wed)			Jac	W 23-3		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		15
Chargers D/ST D/ST		WA (Wed)			StL	W 27-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	1		15
Steve Smith, Bal WR		GREG			@NO	W 34-27		0/0	0	0	0		0	0	0		4	89	1	6		0	0	0		14
Marques Colston, NO WR		WA (Wed)			Bal	L 27-34		0/0	0	0	0		0	0	0		4	82	1	4		0	0	0		14
Matt Ryan, Atl QB		GREG			Cle	L 24-26		27/43	273	2	1		2	6	0		0	0	0	0		0	1	0		14
Emmanuel Sanders, Den WR		CHB			Mia	W 39-36		0/0	0	0	0		1	3	0		9	125	0	13		1	0	0		14
DeMarco Murray, Dal RB		RUCK			@NYG	W 31-28		0/0	0	0	0		24	121	0		2	22	0	3		0	0	0		14
Andrew Luck, Ind QB		DC00			Jac	W 23-3		21/32	253	1	0		8	49	0		0	0	0	0		0	2	0		14
Stedman Bailey, StL WR		WA (Wed)			@SD	L 24-27		0/0	0	0	0		0	0	0		7	89	1	9		0	0	0		14
Jeremy Hill, Cin RB		RUCK			@Hou	W 22-13		0/0	0	0	0		18	87	1		1	9	0	1		0	0	0		14
Billy Cundiff, Cle K		WA (Wed)			@Atl	W 26-24		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		13
Philip Rivers, SD QB		PERO			StL	W 27-24		29/35	291	1	1		3	-1	0		0	0	0	0		0	0	0		13
Joe Flacco, Bal QB		CHB			@NO	W 34-27		18/24	243	1	0		2	2	0		0	0	0	0		0	0	0		13
Colin Kaepernick, SF QB		PERO			Wsh	W 17-13		20/29	256	1	1		9	14	0		0	0	0	0		0	0	0		13
Charles Johnson, Min WR		WA (Wed)			GB	L 21-24		0/0	0	0	0		0	0	0		3	52	1	11		1	0	0		13
Seahawks D/ST D/ST		LIND			Ari	W 19-3		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		13
Adam Vinatieri, Ind K		NOMS			Jac	W 23-3		0/0	0	0	0		0	0	0		0	0	0	0		0	0	0		12
Josh McCown, TB QB		WA (Wed)			@Chi	L 13-21		25/48	341	1	2		3	12	0		0	0	0	0		0	1	0		12
Mark Sanchez, Phi QB		LIND			Ten	W 43-24		30/43	307	1	2		4	4	0		0	0	0	0		0	0	0		12
Julio Jones, Atl WR		BOSS			Cle	L 24-26		0/0	0	0	0		0	0	0		5	68	1	13		0	0	0		12
A.J. Green, Cin WR		DC00			@Hou	W 22-13		0/0	0	0	0		0	0	0		12	121	0	16		0	0	0		12
Joseph Morgan, NO WR		WA (Wed)			Bal	L 27-34		0/0	0	0	0		1	67	0		1	62	0	1		0	0	0		12
