"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"RB","Matt Forte",8700,"Chi@Det 12:30PM ET",25.000
"RB","DeMarco Murray",8400,"Phi@Dal 04:30PM ET",24.609
"WR","Dez Bryant",7900,"Phi@Dal 04:30PM ET",19.991
"QB","Tony Romo",7600,"Phi@Dal 04:30PM ET",18.746
"QB","Russell Wilson",7600,"Sea@SF 08:30PM ET",22.118
"RB","LeSean McCoy",7400,"Phi@Dal 04:30PM ET",13.273
"QB","Matthew Stafford",7200,"Chi@Det 12:30PM ET",16.811
"WR","Calvin Johnson",7000,"Chi@Det 12:30PM ET",14.975
"QB","Jay Cutler",6900,"Chi@Det 12:30PM ET",19.673
"QB","Mark Sanchez",6800,"Phi@Dal 04:30PM ET",19.320
"WR","Jeremy Maclin",6800,"Phi@Dal 04:30PM ET",20.364
"WR","Golden Tate",6600,"Chi@Det 12:30PM ET",19.291
"QB","Colin Kaepernick",6500,"Sea@SF 08:30PM ET",17.382
"WR","Brandon Marshall",6400,"Chi@Det 12:30PM ET",15.164
"RB","Marshawn Lynch",6400,"Sea@SF 08:30PM ET",20.200
"WR","Alshon Jeffery",6300,"Chi@Det 12:30PM ET",16.236
"WR","Anquan Boldin",5700,"Sea@SF 08:30PM ET",15.864
"WR","Jordan Matthews",5700,"Phi@Dal 04:30PM ET",14.136
"WR","Michael Crabtree",4700,"Sea@SF 08:30PM ET",11.736
"RB","Joique Bell",4700,"Chi@Det 12:30PM ET",10.720
"RB","Darren Sproles",4500,"Phi@Dal 04:30PM ET",12.760
"TE","Jason Witten",4500,"Phi@Dal 04:30PM ET",10.282
"RB","Reggie Bush",4500,"Chi@Det 12:30PM ET",9.714
"TE","Martellus Bennett",4000,"Chi@Det 12:30PM ET",14.073
"WR","Doug Baldwin",4000,"Sea@SF 08:30PM ET",10.009
"WR","Terrance Williams",3900,"Phi@Dal 04:30PM ET",9.855
"QB","Tarvaris Jackson",3800,"Sea@SF 08:30PM ET",0
"QB","Dan Orlovsky",3800,"Chi@Det 12:30PM ET",0
"QB","Josh Johnson",3800,"Sea@SF 08:30PM ET",0
"QB","Jimmy Clausen",3800,"Chi@Det 12:30PM ET",0.560
"QB","Kellen Moore",3800,"Chi@Det 12:30PM ET",0
"QB","Brandon Weeden",3800,"Phi@Dal 04:30PM ET",4.075
"QB","Nick Foles",3800,"Phi@Dal 04:30PM ET",18.040
"QB","Blaine Gabbert",3800,"Sea@SF 08:30PM ET",6.020
"QB","Matt Barkley",3800,"Phi@Dal 04:30PM ET",0.000
"RB","Theo Riddick",3800,"Chi@Det 12:30PM ET",7.278
"QB","Dustin Vaughan",3800,"Phi@Dal 04:30PM ET",0
"WR","Riley Cooper",3600,"Phi@Dal 04:30PM ET",7.864
"RB","Frank Gore",3500,"Sea@SF 08:30PM ET",9.836
"DST","Lions ",3400,"Chi@Det 12:30PM ET",8.091
"DST","Eagles ",3400,"Phi@Dal 04:30PM ET",13.818
"DST","Seahawks ",3300,"Sea@SF 08:30PM ET",6.909
"TE","Brent Celek",3300,"Phi@Dal 04:30PM ET",4.955
"DST","Cowboys ",3200,"Phi@Dal 04:30PM ET",6.545
"TE","Zach Ertz",3200,"Phi@Dal 04:30PM ET",8.273
"TE","Eric Ebron",3200,"Chi@Det 12:30PM ET",4.600
"DST","49ers ",3100,"Sea@SF 08:30PM ET",8.273
"TE","Tony Moeaki",3100,"Sea@SF 08:30PM ET",7.250
"DST","Bears ",3000,"Chi@Det 12:30PM ET",7.273
"WR","Brad Smith",3000,"Phi@Dal 04:30PM ET",0.263
"WR","Brandon Lloyd",3000,"Sea@SF 08:30PM ET",4.320
"TE","Dante Rosario",3000,"Chi@Det 12:30PM ET",1.964
"TE","Vernon Davis",3000,"Sea@SF 08:30PM ET",5.900
"RB","Tyler Clutts",3000,"Phi@Dal 04:30PM ET",0.100
"WR","Kassim Osgood",3000,"Sea@SF 08:30PM ET",0.000
"WR","Josh Morgan",3000,"Chi@Det 12:30PM ET",1.856
"TE","Brandon Pettigrew",3000,"Chi@Det 12:30PM ET",1.756
"TE","Kellen Davis",3000,"Chi@Det 12:30PM ET",0.000
"RB","Jed Collins",3000,"Chi@Det 12:30PM ET",1.327
"RB","Alfonso Smith",3000,"Sea@SF 08:30PM ET",0.000
"WR","Chris Williams",3000,"Chi@Det 12:30PM ET",0.743
"WR","Dwayne Harris",3000,"Phi@Dal 04:30PM ET",1.564
"RB","Bruce Miller",3000,"Sea@SF 08:30PM ET",1.555
"TE","Kyle Nelson",3000,"Sea@SF 08:30PM ET",0.000
"WR","Marc Mariani",3000,"Chi@Det 12:30PM ET",0.000
"WR","Bryan Walters",3000,"Sea@SF 08:30PM ET",1.022
"WR","Jeremy Ross",3000,"Chi@Det 12:30PM ET",4.400
"WR","Stevie Johnson",3000,"Sea@SF 08:30PM ET",8.518
"WR","Ryan Broyles",3000,"Chi@Det 12:30PM ET",0.900
"TE","James Casey",3000,"Phi@Dal 04:30PM ET",1.900
"WR","Jeff Maehl",3000,"Phi@Dal 04:30PM ET",1.371
"RB","Will Tukuafu",3000,"Sea@SF 08:30PM ET",0.000
"RB","Robert Turbin",3000,"Sea@SF 08:30PM ET",4.118
"TE","James Hanna",3000,"Phi@Dal 04:30PM ET",0.491
"RB","George Winn",3000,"Chi@Det 12:30PM ET",0.943
"RB","Chris Polk",3000,"Phi@Dal 04:30PM ET",2.611
"WR","Jermaine Kearse",3000,"Sea@SF 08:30PM ET",6.425
"WR","Cole Beasley",3000,"Phi@Dal 04:30PM ET",3.991
"TE","Luke Willson",3000,"Sea@SF 08:30PM ET",3.310
"RB","Lance Dunbar",3000,"Phi@Dal 04:30PM ET",3.682
"TE","Joseph Fauria",3000,"Chi@Det 12:30PM ET",1.980
"TE","Vance McDonald",3000,"Sea@SF 08:30PM ET",0.500
"TE","Gavin Escobar",3000,"Phi@Dal 04:30PM ET",3.264
"WR","Kevin Norwood",3000,"Sea@SF 08:30PM ET",1.600
"WR","Ricardo Lockette",3000,"Sea@SF 08:30PM ET",3.391
"RB","Christine Michael",3000,"Sea@SF 08:30PM ET",2.040
"TE","Blake Annen",3000,"Chi@Det 12:30PM ET",0.000
"WR","Devin Street",3000,"Phi@Dal 04:30PM ET",0.345
"TE","Cooper Helfet",3000,"Sea@SF 08:30PM ET",4.400
"TE","Trey Burton",3000,"Phi@Dal 04:30PM ET",0.091
"RB","Carlos Hyde",3000,"Sea@SF 08:30PM ET",5.336
"RB","Joseph Randle",3000,"Phi@Dal 04:30PM ET",2.500
"RB","Senorise Perry",3000,"Chi@Det 12:30PM ET",0.000
"WR","Josh Huff",3000,"Phi@Dal 04:30PM ET",2.257
"WR","Corey Fuller",3000,"Chi@Det 12:30PM ET",3.373
"WR","Marquess Wilson",3000,"Chi@Det 12:30PM ET",2.550
"WR","Paul Richardson",3000,"Sea@SF 08:30PM ET",2.260
"TE","Rashaun Allen",3000,"Sea@SF 08:30PM ET",0.000
"WR","Quinton Patton",3000,"Sea@SF 08:30PM ET",0
"RB","Ka'Deem Carey",3000,"Chi@Det 12:30PM ET",1.518
"WR","Bruce Ellington",3000,"Sea@SF 08:30PM ET",2.000
"TE","Derek Carrier",3000,"Sea@SF 08:30PM ET",1.791
