"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"QB","Aaron Rodgers",9900,"GB@Min 01:00PM ET",25.532
"QB","Andrew Luck",9700,"Jax@Ind 01:00PM ET",28.892
"RB","Matt Forte",9500,"TB@Chi 01:00PM ET",24.680
"QB","Peyton Manning",9400,"Mia@Den 04:25PM ET",26.244
"WR","Demaryius Thomas",8700,"Mia@Den 04:25PM ET",24.150
"QB","Tom Brady",8600,"Det@NE 01:00PM ET",20.436
"RB","Arian Foster",8600,"Cin@Hou 01:00PM ET",25.888
"RB","DeMarco Murray",8500,"Dal@NYG 08:30PM ET",25.140
"WR","Jordy Nelson",8300,"GB@Min 01:00PM ET",22.880
"QB","Drew Brees",8200,"Bal@NO 08:30PM ET",21.174
"WR","Dez Bryant",8100,"Dal@NYG 08:30PM ET",19.230
"WR","Emmanuel Sanders",8000,"Mia@Den 04:25PM ET",22.520
"WR","Jeremy Maclin",7900,"Ten@Phi 01:00PM ET",21.210
"TE","Rob Gronkowski",7900,"Det@NE 01:00PM ET",18.940
"WR","Calvin Johnson",7800,"Det@NE 01:00PM ET",15.714
"WR","Mike Evans",7800,"TB@Chi 01:00PM ET",19.600
"QB","Jay Cutler",7700,"TB@Chi 01:00PM ET",20.820
"QB","Russell Wilson",7600,"Ari@Sea 04:05PM ET",22.356
"WR","Randall Cobb",7600,"GB@Min 01:00PM ET",20.580
"WR","T.Y. Hilton",7600,"Jax@Ind 01:00PM ET",18.560
"QB","Tony Romo",7500,"Dal@NYG 08:30PM ET",17.962
"WR","A.J. Green",7300,"Cin@Hou 01:00PM ET",16.000
"RB","Eddie Lacy",7300,"GB@Min 01:00PM ET",16.090
"QB","Ryan Tannehill",7200,"Mia@Den 04:25PM ET",18.086
"WR","Alshon Jeffery",7200,"TB@Chi 01:00PM ET",16.740
"WR","Brandon Marshall",7100,"TB@Chi 01:00PM ET",16.060
"TE","Jimmy Graham",7000,"Bal@NO 08:30PM ET",16.530
"WR","Julio Jones",7000,"Cle@Atl 01:00PM ET",18.730
"QB","Matthew Stafford",6900,"Det@NE 01:00PM ET",17.356
"WR","Golden Tate",6900,"Det@NE 01:00PM ET",19.720
"QB","Mark Sanchez",6800,"Ten@Phi 01:00PM ET",19.867
"RB","Mark Ingram",6800,"Bal@NO 08:30PM ET",19.214
"QB","Joe Flacco",6700,"Bal@NO 08:30PM ET",17.634
"RB","Marshawn Lynch",6700,"Ari@Sea 04:05PM ET",21.100
"QB","Josh McCown",6600,"TB@Chi 01:00PM ET",16.272
"QB","Philip Rivers",6600,"StL@SD 04:05PM ET",18.986
"RB","Adrian Peterson",6600,"GB@Min 01:00PM ET",11.300
"QB","Nick Foles",6600,"Ten@Phi 01:00PM ET",18.040
"RB","Justin Forsett",6500,"Bal@NO 08:30PM ET",16.130
"WR","DeSean Jackson",6500,"Was@SF 04:25PM ET",16.070
"QB","Colin Kaepernick",6500,"Was@SF 04:25PM ET",17.656
"RB","Giovani Bernard",6400,"Cin@Hou 01:00PM ET",16.786
"QB","Matt Ryan",6300,"Cle@Atl 01:00PM ET",18.592
"QB","Andy Dalton",6300,"Cin@Hou 01:00PM ET",15.980
"WR","Josh Gordon",6300,"Cle@Atl 01:00PM ET",0
"QB","Michael Vick",6200,"NYJ@Buf 07:00PM ET",5.628
"WR","Roddy White",6200,"Cle@Atl 01:00PM ET",15.178
"RB","LeSean McCoy",6200,"Ten@Phi 01:00PM ET",12.290
